                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0556,                  4.287,                 4.2519,                0.00153,                0.44643,                 0.0014,                0.00064,                 2.3262,                 4.4299,                 4.1584,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.9802,                 4.4074,                 4.2231,                0.00154,                0.44643,                 0.0014,                0.00063,                 2.3243,                 4.4283,                 4.1579,             0.00013945,             0.00013945,             0.00013945
                      3,                 2.8641,                 4.3474,                 4.1976,                0.00155,                0.44643,                0.00145,                0.00063,                 2.3219,                 4.4267,                 4.1552,             0.00021826,             0.00021826,             0.00021826
                      4,                  2.959,                 4.2031,                 4.1684,                0.00156,                0.42857,                0.00149,                0.00064,                  2.318,                 4.4255,                 4.1506,             0.00029644,             0.00029644,             0.00029644
                      5,                 2.9341,                 4.1104,                 4.1528,                0.00155,                0.42857,                0.00222,                0.00073,                 2.3142,                 4.4234,                 4.1461,             0.00037398,             0.00037398,             0.00037398
                      6,                 2.6807,                 3.9659,                 4.0985,                0.00151,                0.42857,                0.00249,                0.00083,                  2.312,                 4.4198,                 4.1391,             0.00045089,             0.00045089,             0.00045089
                      7,                 2.8628,                 3.7271,                 4.0717,                0.00152,                0.42857,                0.00186,                0.00074,                 2.3026,                 4.4001,                 4.1305,             0.00052717,             0.00052717,             0.00052717
                      8,                 2.9164,                 3.7388,                 3.9561,                0.00153,                0.44643,                0.00318,                0.00086,                 2.2966,                 4.4142,                  4.123,             0.00060281,             0.00060281,             0.00060281
                      9,                 2.8261,                 3.5293,                 3.8636,                0.00155,                0.44643,                0.00348,                0.00095,                  2.295,                 4.3883,                  4.122,             0.00067782,             0.00067782,             0.00067782
                     10,                 2.9287,                 3.3867,                 3.8188,                0.00155,                0.44643,                0.00349,                0.00093,                 2.2983,                 4.3462,                 4.1284,              0.0007522,              0.0007522,              0.0007522
                     11,                 2.8824,                 3.1892,                 3.6776,                0.00151,                0.42857,                 0.0037,                0.00106,                 2.2961,                 4.3098,                 4.1252,             0.00082594,             0.00082594,             0.00082594
                     12,                  2.869,                  3.086,                 3.6361,                0.00154,                0.44643,                 0.0029,                0.00081,                 2.2963,                 4.3019,                 4.1393,             0.00089905,             0.00089905,             0.00089905
                     13,                 2.8554,                 3.0774,                 3.5683,                0.00159,                0.44643,                0.00225,                 0.0007,                 2.2969,                 4.3221,                 4.1456,             0.00097153,             0.00097153,             0.00097153
                     14,                 2.9601,                 2.9431,                  3.476,                0.00159,                0.44643,                0.00275,                0.00081,                 2.2952,                 4.2846,                 4.1453,              0.0010434,              0.0010434,              0.0010434
                     15,                  2.998,                 2.9482,                 3.4848,                0.00158,                0.44643,                0.00195,                0.00062,                 2.2681,                 4.4045,                 4.1059,              0.0011146,              0.0011146,              0.0011146
                     16,                 2.5887,                 2.6395,                 3.3889,                0.00157,                0.44643,                0.00123,                0.00053,                 2.2726,                 4.4756,                 4.1252,              0.0011852,              0.0011852,              0.0011852
                     17,                 2.6478,                 2.7113,                 3.3158,                0.00164,                0.44643,                0.00135,                0.00058,                 2.2807,                 4.4645,                 4.1696,              0.0012551,              0.0012551,              0.0012551
                     18,                 2.7524,                 2.8883,                 3.2986,                0.00152,                0.41071,                0.00191,                0.00073,                 2.3029,                 4.3516,                  4.236,              0.0013244,              0.0013244,              0.0013244
                     19,                 2.5095,                 2.8081,                 3.2142,                0.00152,                0.41071,                0.00157,                0.00061,                 2.3201,                 4.3971,                  4.275,              0.0013931,              0.0013931,              0.0013931
                     20,                 2.6283,                 2.6808,                   3.29,                0.00109,                0.16071,                0.00071,                0.00019,                 2.3529,                 4.4711,                 4.3383,              0.0014611,              0.0014611,              0.0014611
                     21,                 2.4801,                 2.7383,                 3.1985,                0.00155,                0.41071,                0.00109,                0.00045,                 2.3559,                 4.1424,                 4.3838,              0.0015285,              0.0015285,              0.0015285
                     22,                  2.427,                 2.6584,                 3.1105,                0.00158,                0.41071,                0.00117,                0.00047,                 2.3492,                 4.1683,                 4.3936,              0.0015953,              0.0015953,              0.0015953
                     23,                 2.4414,                 2.4767,                 3.0526,                0.00159,                0.16071,                0.00178,                0.00028,                 2.3558,                 4.2142,                 4.4221,              0.0016614,              0.0016614,              0.0016614
                     24,                 2.6762,                 2.3995,                 3.2362,                0.00135,                0.10714,                0.00831,                0.00088,                  2.347,                 4.2403,                 4.4047,              0.0017269,              0.0017269,              0.0017269
                     25,                 2.4809,                 2.3906,                 3.1593,                0.00092,                0.07143,                0.00566,                0.00061,                 2.3047,                 4.2714,                 4.3047,              0.0017918,              0.0017918,              0.0017918
                     26,                 2.4903,                 2.3897,                 3.0905,                0.00116,                0.08929,                0.00227,                0.00027,                 2.2485,                 4.2715,                 4.1801,               0.001802,               0.001802,               0.001802
                     27,                 2.4867,                 2.4835,                 3.0764,                0.00093,                0.07143,                0.00128,                0.00017,                 2.2247,                 4.2529,                 4.1131,              0.0017941,              0.0017941,              0.0017941
                     28,                 2.5526,                 2.5477,                 3.0765,                0.00094,                0.07143,                0.00154,                 0.0002,                 2.2078,                 4.2134,                 4.0626,              0.0017862,              0.0017862,              0.0017862
                     29,                 2.3272,                 2.3464,                 2.9947,                0.00116,                0.08929,                0.00299,                0.00042,                 2.1888,                 4.1679,                 3.9874,              0.0017782,              0.0017782,              0.0017782
                     30,                 2.5343,                 2.6683,                 3.1747,                0.00475,                0.39286,                0.10459,                0.02428,                 2.1406,                  3.947,                 3.7623,              0.0017703,              0.0017703,              0.0017703
                     31,                 2.5281,                   2.49,                 3.0024,                0.00723,                   0.75,                0.28317,                0.11077,                 2.0168,                 3.4862,                  3.389,              0.0017624,              0.0017624,              0.0017624
                     32,                 2.3046,                 2.1612,                 2.9713,                0.29518,                0.16071,                0.16293,                0.05574,                  2.094,                  3.507,                 4.0262,              0.0017545,              0.0017545,              0.0017545
                     33,                  2.406,                 2.2211,                 3.0288,                0.51401,                0.10714,                0.12151,                0.03941,                  2.271,                 3.4785,                  4.878,              0.0017466,              0.0017466,              0.0017466
                     34,                 2.5169,                 2.4206,                 3.1231,                0.45255,                0.08929,                0.13857,                0.06246,                 2.1525,                 3.5207,                 4.3867,              0.0017386,              0.0017386,              0.0017386
                     35,                 2.4784,                 2.1639,                 3.0544,                0.00323,                0.64286,                0.01036,                0.00341,                 2.4723,                 4.0557,                 5.3274,              0.0017307,              0.0017307,              0.0017307
                     36,                 2.3708,                 2.2569,                 2.9523,                0.13984,                0.16071,                0.08181,                0.01707,                 2.3973,                 3.8178,                  4.111,              0.0017228,              0.0017228,              0.0017228
                     37,                 2.3258,                 2.0585,                  2.946,                0.76821,                0.57143,                0.64599,                0.16425,                  2.079,                 2.7158,                 3.0173,              0.0017149,              0.0017149,              0.0017149
